Wormbase.ID,Sequence.ID,Category.1,Category.2,Category.3,Automated.Description
WBGene00006915,VW02B12L.1,Lysosome,Lysosome: Vacuolar ATPase,Lysosome: Vacuolar ATPase,"vha-6 is an ortholog of human ATP6V0A1 (ATPase H+ transporting V0 subunit a1), ATP6V0A2 (ATPase H+ transporting V0 subunit a2), and TCIRG1 (T cell immune regulator 1, ATPase H+ transporting V0 subunit a3)\; is predicted to have proton transmembrane transporter activity\; is involved in nematode larval development\; localizes to the apical plasma membrane and vacuolar proton-transporting V-type ATPase complex\; is expressed in several tissues, including the Psub2, the alimentary system, the excretory cell, the hypodermis, and uterus\; human orthologs of this gene are implicated in autosomal recessive cutis laxa type IIA, autosomal recessive osteopetrosis 1, and renal tubular acidosis."
WBGene00002263,K08H10.1,Unassigned,Unassigned,Unassigned,"lea-1 is an ortholog of human PLIN4 (perilipin 4)\; is predicted to have lipid binding activity\; is involved in hyperosmotic response, response to desiccation, and response to heat\; is expressed in several tissues including the body wall musculature and the gonad."
WBGene00000239,C05D2.4,Neuronal function,Neuronal function: synaptic function,Neuronal function: synaptic function: neurotransmitter metabolism,"bas-1 is an ortholog of human Ddc\; is predicted to have L-dopa decarboxylase activity\; is involved in several processes, including locomotion involved in locomotory behavior, oviposition, and phenol-containing compound biosynthetic process\; is expressed in several tissues, including the nervous system."
WBGene00016535,C39D10.8,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"C39D10.8 is enriched in the ASER, the OLL, the PVD, the hypodermis, and the intestine based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by several genes including daf-16, daf-2, and glp-1 based on microarray and RNA-seq studies\; is affected by five chemicals including Ethanol, manganese chloride, and D-glucose based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Domain of unknown function DUF4440 and NTF2-like domain superfamily."
WBGene00003936,T17H7.4,Cytoskeleton,Cytoskeleton: unassigned,Cytoskeleton: unassigned,"pat-12 is involved in embryonic morphogenesis and hemidesmosome assembly\; localizes to the hemidesmosome\; is expressed in several tissues, including the alimentary system, the epithelial system, the nervous system, and the reproductive system."
WBGene00020256,T05C3.6,Signaling,Signaling: lipid,Signaling: lipid: phospholipase: unassigned,"T05C3.6 is an ortholog of human PLD3 (phospholipase D 3), PLD4 (phospholipase D 4), and PLD5 (phospholipase D 5)\; is predicted to have catalytic activity\; human orthologs of this gene are implicated in Alzheimer's disease 19."
WBGene00016088,C25B8.4,Stress response,Stress response: C-type Lectin,Stress response: C-type Lectin,"clec-266 is an ortholog of human CLEC1A (C-type lectin domain family 1 member A), CLEC17A (C-type lectin domain containing 17A), and CLEC1B (C-type lectin domain family 1 member B)\; is predicted to have carbohydrate binding activity\; is expressed in the intestinal cell."
WBGene00022462,Y110A7A.15,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"Y110A7A.15 is enriched in the germ line based on proteomic and RNA-seq studies\; is affected by several genes including daf-2, glp-1, and elt-2 based on microarray, RNA-seq, and proteomic studies\; is affected by nine chemicals including Alovudine, stavudine, and Zidovudine based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Six-bladed beta-propeller, TolB-like."
WBGene00019785,M70.3,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"M70.3 is enriched in the germ line and the male based on proteomic and RNA-seq studies\; is affected by several genes including daf-2, age-1, and let-60 based on microarray, RNA-seq, tiling array, and proteomic studies\; is affected by nineteen chemicals including hydrogen sulfide, Ethanol, and methylmercury hydroxide based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Domain of unknown function WSN."
WBGene00016568,C41G11.1,Unassigned,Unassigned,Unassigned: hydrolase,C41G11.1 is predicted to have hydrolase activity.
WBGene00003678,K08A2.5,Transcription factor,Transcription factor: NHR,Transcription factor: NHR,"nhr-88 is predicted to have several functions, including regulation of cellular process, sequence-specific DNA binding activity, and zinc ion binding activity."
WBGene00018602,F48D6.4,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"F48D6.4 is enriched in the ASER, the intestine, and the muscle cell based on tiling array, RNA-seq, and microarray studies\; is affected by several genes including daf-16, daf-2, and dpy-10 based on microarray and RNA-seq studies\; is affected by twelve chemicals including Ethanol, methylmercuric chloride, and Rotenone based on RNA-seq and microarray studies."
WBGene00016943,C55B7.4,Metabolism,Metabolism: lipid,Metabolism: lipid: beta oxidation,"acdh-1 is an ortholog of human ACADSB (acyl-CoA dehydrogenase short\/branched chain)\; is predicted to have flavin adenine dinucleotide binding activity and oxidoreductase activity, acting on the CH-CH group of donors\; is involved in defense response to Gram-negative bacterium and innate immune response\; is expressed in the E lineage cell."
WBGene00022847,ZK1055.6,Unassigned,Unassigned,Unassigned,"ZK1055.6 is enriched in the coelomocyte, the intestine, the nervous system, the sensillum, and the somatic gonad precursor based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including daf-2, glp-1, and dpy-10 based on microarray and RNA-seq studies\; is affected by eight chemicals including aldicarb, methylmercuric chloride, and Zidovudine based on microarray and RNA-seq studies\; is predicted to encode a protein with the following domain: Conserved hypothetical protein CHP02231."
WBGene00020662,T21H3.1,Unassigned,Unassigned,Unassigned,T21H3.1 is predicted to have hydrolase activity\; is expressed in the intestine.
WBGene00004062,T10H9.5,Peroxisome,Peroxisome: transporter,Peroxisome: transporter,"pmp-5 is an ortholog of human ABCD4 (ATP binding cassette subfamily D member 4)\; is predicted to have ATP binding activity and ATPase activity, coupled to transmembrane movement of substances\; is expressed in the hypodermis and the intestine."
WBGene00021709,Y49C4A.8,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,"ugt-29 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have transferase activity, transferring hexosyl groups\; is expressed in the pharynx, the tail, and the vulval muscle."
WBGene00019719,M01H9.3,Unassigned,Unassigned,Unassigned: regulated by multiple stresses,"M01H9.3 is enriched in the coelomocyte, the germ line, the intestine, and the nervous system based on microarray, tiling array, and RNA-seq studies\; is affected by several genes including daf-16, daf-2, and daf-12 based on microarray, tiling array, RNA-seq, and proteomic studies\; is affected by ten chemicals including Rotenone, stavudine, and Zidovudine based on RNA-seq and microarray studies."
WBGene00022593,ZC328.3,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"ZC328.3 is an ortholog of human GRAMD1A (GRAM domain containing 1A), GRAMD1B (GRAM domain containing 1B), and GRAMD1C (GRAM domain containing 1C)\; is expressed in the anal sphincter muscle, the head, the intestine, and the pharyngeal-intestinal valve\; is predicted to encode a protein with the following domain: VASt domain."
WBGene00022180,Y71H2AM.15,Signaling,Signaling: Y kinase,Signaling: Y kinase,Y71H2AM.15 is an ortholog of human KIAA1217\; localizes to the cell junction and striated muscle dense body.
WBGene00009959,F53B6.4,Unassigned,Unassigned,Unassigned: membrane spanning domain,"F53B6.4 is enriched in the germ line and the male based on proteomic and RNA-seq studies\; is affected by several genes including daf-2, age-1, and let-7 based on microarray, RNA-seq, and proteomic studies\; is affected by seventeen chemicals including Ethanol, nicotinic acid, and methylmercuric chloride based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Major sperm protein (MSP) domain, PapD-like superfamily, and Immunoglobulin-like fold."
WBGene00008743,F13D12.9,Unassigned,Unassigned,Unassigned,"F13D12.9 is enriched in the male based on RNA-seq studies\; is affected by several genes including daf-2, dpy-10, and clk-1 based on RNA-seq and microarray studies\; is affected by eight chemicals including 1-methylnicotinamide, methylmercuric chloride, and resveratrol based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domains: Mycolic acid cyclopropane synthase and S-adenosyl-L-methionine-dependent methyltransferase."
WBGene00012445,Y16B4A.2,Proteolysis general,Proteolysis general: cysteine,Proteolysis general: cysteine: cathepsin,Y16B4A.2 is an ortholog of human CTSA (cathepsin A)\; is predicted to have serine-type carboxypeptidase activity\; localizes to the membrane raft.
WBGene00000099,B0207.4,Cell cycle,Cell cycle: chromosome dynamics,Cell cycle: chromosome dynamics: kinase,"air-2 is an ortholog of human AURKA (aurora kinase A), AURKB (aurora kinase B), and AURKC\; exhibits ATPase binding activity, kinesin binding activity, and protein serine\/threonine kinase activity\; is involved in several processes, including cellular protein modification process, chromosome condensation, and microtubule cytoskeleton organization\; localizes to the condensed nuclear chromosome and spindle midzone\; is expressed in the oocyte and the sperm."
WBGene00018543,F47C10.6,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,"ugt-32 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have transferase activity, transferring hexosyl groups."
WBGene00019963,R08E5.3,Protein modification,Protein modification: methyltransferase,Protein modification: methyltransferase,"R08E5.3 is expressed in the intestine\; is predicted to encode a protein with the following domains: Methyltransferase domain, S-adenosyl-L-methionine-dependent methyltransferase, and Winged helix-like DNA-binding domain superfamily."
WBGene00020414,T10E9.4,Transmembrane protein,Transmembrane protein: unassigned,Transmembrane protein: unassigned,"T10E9.4 is enriched in the germ line and the male based on proteomic and RNA-seq studies\; is affected by several genes including daf-2, let-7, and dpy-10 based on microarray, RNA-seq, and proteomic studies\; is affected by eighteen chemicals including Ethanol, methylmercury hydroxide, and 1-methylnicotinamide based on RNA-seq and microarray studies\; is predicted to encode a protein with the following domain: Domain of unknown function DX."
WBGene00020592,T19H12.9,Stress response,Stress response: detoxification,Stress response: detoxification: ugt,"ugt-12 is an ortholog of human UGT3A1 (UDP glycosyltransferase family 3 member A1) and UGT3A2 (UDP glycosyltransferase family 3 member A2)\; is predicted to have transferase activity, transferring hexosyl groups."
WBGene00021007,W03F11.4,Signaling,Signaling: phosphatase,Signaling: phosphatase: Y ,"W03F11.4 is an ortholog of human PTPRF (protein tyrosine phosphatase, receptor type F)\; is predicted to have protein tyrosine phosphatase activity."
WBGene00002258,W02D3.5,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"lbp-6 is an ortholog of human FABP3 (fatty acid binding protein 3), FABP4 (fatty acid binding protein 4), and FABP7 (fatty acid binding protein 7)\; is predicted to have lipid binding activity."
WBGene00002257,W02D3.7,Metabolism,Metabolism: lipid,Metabolism: lipid: binding,"lbp-5 is an ortholog of human FABP3 (fatty acid binding protein 3), FABP4 (fatty acid binding protein 4), and FABP7 (fatty acid binding protein 7)\; exhibits fatty acid binding activity\; localizes to the nucleus and perinuclear region of cytoplasm\; is expressed in several tissues, including the alimentary system, the epithelial system, the reproductive system, and the tail."
WBGene00019013,F57C9.7,Unassigned,Unassigned,Unassigned,"tofu-4 is enriched in the germ line based on RNA-seq studies\; is affected by several genes including daf-2, dpy-10, and elt-2 based on microarray and RNA-seq studies\; is affected by seven chemicals including Zidovudine, Chlorpyrifos, and Diazinon based on RNA-seq and microarray studies."
